id,gender,age,education,combined_covid_conspriacy,china_covid_conspiracy,generic_covid_conspiracy,generic_covid_conspiracy_wo_hoax,combined_covid_conspriacy_wo_hoax,negative_feelings_italy,negative_feelings_china,negative_feelings_roma,social_distance_italy,social_distance_china,social_distance_roma,discrimination_italy,discrimination_china,discrimination_roma,italy_composite,china_composite,roma_comspotie,information_exposure,anxiety,lack_of_control
415,2,60,3,2.66666666666667,2.75,2.625,2.57142857142857,2.63636363636364,40,70,50,1,3.33333333333333,3.66666666666667,2,2,2,-.409329050918898,.463475872085644,-.259420377013475,4,2,4
416,2,20,3,1.41666666666667,1.25,1.5,1.57142857142857,1.45454545454545,47,47,100,2,2,7,5,4,7,.434004145598079,.0165270604656158,1.60357529643955,3.33333333333333,1.5,2.75
417,2,60,3,2.5,2.25,2.625,2.71428571428571,2.54545454545455,50,50,50,1.66666666666667,2.33333333333333,2.33333333333333,6,6,3,.458512714188717,.378789534530974,-.528429999670886,2.33333333333333,3.75,2.75
418,2,68,3,1.5,2,1.25,1.28571428571429,1.54545454545455,0,19,50,1,1.66666666666667,5.66666666666667,3,3,3,-.649757992499955,-.487199799286793,.408456145043029,6,6,5
419,2,46,3,2.75,3.25,2.5,2.28571428571429,2.63636363636364,0,50,100,1,1,3.66666666666667,3,3,7,-.649757992499955,-.415864971364056,.636911353186901,2.66666666666667,2.75,1.75
420,1,62,3,1.75,1,2.125,2.14285714285714,1.72727272727273,50,51,69,1.33333333333333,1.33333333333333,1.33333333333333,1,1,4,-.311202620689593,-.529908133789916,-.550404466419479,4.33333333333333,1,1.75
421,2,23,3,3.33333333333333,2.75,3.625,4,3.54545454545455,50,51,47,2.66666666666667,3,2.66666666666667,4,4,1,.599168685866021,.398169772318443,-.658605282088317,3.33333333333333,2,3.5
422,2,41,3,2.75,2.25,3,3,2.72727272727273,49,51,100,1,1,3.66666666666667,2,2,2,-.326600950974471,-.522109230914977,.159308473885798,5.66666666666667,3.25,4.25
423,2,65,1,1.83333333333333,2,1.75,1.85714285714286,1.90909090909091,41,51,99,1,1,7,2,2,2,-.400137039813962,-.522109230914977,1.09875151016607,6,4.25,5
424,2,29,3,3,3,3,3,3,41,74,51,2,4.66666666666667,5.33333333333333,1,1,4,-.130153931497117,.841851441961283,.436045898247944,2,1,2
